"Rectangle","long","lat","X","X.1","Freq","year"
"27E9",-0.5,49.25,NA,NA,0,1992
"28E9",-0.5,49.75,NA,NA,0,1992
"28F0",0.5,49.75,NA,NA,0,1992
"29E8",-1.5,50.25,NA,NA,0,1992
"29E9",-0.5,50.25,NA,NA,0,1992
"29F0",0.5,50.25,NA,NA,0,1992
"29F1",1.5,50.25,NA,NA,0,1992
"30E9",-0.5,50.75,NA,NA,0,1992
"30F0",0.5,50.75,NA,NA,0,1992
"30F1",1.5,50.75,NA,NA,0,1992
"31F1",1.5,51.25,NA,NA,0,1992
"31F2",2.5,51.25,NA,NA,2,1992
"31F3",3.5,51.25,NA,NA,0,1992
"32F1",1.5,51.75,NA,NA,0,1992
"32F2",2.5,51.75,NA,NA,2,1992
"32F3",3.5,51.75,NA,NA,1,1992
"33F1",1.5,52.25,NA,NA,0,1992
"33F2",2.5,52.25,NA,NA,2,1992
"33F3",3.5,52.25,NA,NA,2,1992
"33F4",4.5,52.25,NA,NA,0,1992
"34F1",1.5,52.75,NA,NA,0,1992
"34F2",2.5,52.75,NA,NA,2,1992
"34F3",3.5,52.75,NA,NA,2,1992
"34F4",4.5,52.75,NA,NA,2,1992
"35F0",0.5,53.25,NA,NA,2,1992
"35F1",1.5,53.25,NA,NA,2,1992
"35F2",2.5,53.25,NA,NA,2,1992
"35F3",3.5,53.25,NA,NA,2,1992
"35F4",4.5,53.25,NA,NA,2,1992
"36F0",0.5,53.75,NA,NA,2,1992
"36F1",1.5,53.75,NA,NA,0,1992
"36F2",2.5,53.75,NA,NA,2,1992
"36F3",3.5,53.75,NA,NA,2,1992
"36F4",4.5,53.75,NA,NA,2,1992
"36F5",5.5,53.75,NA,NA,2,1992
"36F6",6.5,53.75,NA,NA,2,1992
"36F7",7.5,53.75,NA,NA,2,1992
"37E9",-0.5,54.25,NA,NA,2,1992
"37F0",0.5,54.25,NA,NA,2,1992
"37F1",1.5,54.25,NA,NA,2,1992
"37F2",2.5,54.25,NA,NA,2,1992
"37F3",3.5,54.25,NA,NA,2,1992
"37F4",4.5,54.25,NA,NA,2,1992
"37F5",5.5,54.25,NA,NA,2,1992
"37F6",6.5,54.25,NA,NA,2,1992
"37F7",7.5,54.25,NA,NA,2,1992
"37F8",8.5,54.25,NA,NA,2,1992
"38E8",-1.5,54.75,NA,NA,0,1992
"38E9",-0.5,54.75,NA,NA,2,1992
"38F0",0.5,54.75,NA,NA,2,1992
"38F1",1.5,54.75,NA,NA,2,1992
"38F2",2.5,54.75,NA,NA,2,1992
"38F3",3.5,54.75,NA,NA,2,1992
"38F4",4.5,54.75,NA,NA,2,1992
"38F5",5.5,54.75,NA,NA,2,1992
"38F6",6.5,54.75,NA,NA,2,1992
"38F7",7.5,54.75,NA,NA,2,1992
"38F8",8.5,54.75,NA,NA,2,1992
"39E8",-1.5,55.25,NA,NA,2,1992
"39E9",-0.5,55.25,NA,NA,2,1992
"39F0",0.5,55.25,NA,NA,2,1992
"39F1",1.5,55.25,NA,NA,2,1992
"39F2",2.5,55.25,NA,NA,4,1992
"39F3",3.5,55.25,NA,NA,2,1992
"39F4",4.5,55.25,NA,NA,2,1992
"39F5",5.5,55.25,NA,NA,2,1992
"39F6",6.5,55.25,NA,NA,2,1992
"39F7",7.5,55.25,NA,NA,2,1992
"39F8",8.5,55.25,NA,NA,2,1992
"40E8",-1.5,55.75,NA,NA,4,1992
"40E9",-0.5,55.75,NA,NA,2,1992
"40F0",0.5,55.75,NA,NA,0,1992
"40F1",1.5,55.75,NA,NA,2,1992
"40F2",2.5,55.75,NA,NA,2,1992
"40F3",3.5,55.75,NA,NA,3,1992
"40F4",4.5,55.75,NA,NA,3,1992
"40F5",5.5,55.75,NA,NA,2,1992
"40F6",6.5,55.75,NA,NA,2,1992
"40F7",7.5,55.75,NA,NA,2,1992
"41E7",-2.5,56.25,NA,NA,2,1992
"41E8",-1.5,56.25,NA,NA,2,1992
"41E9",-0.5,56.25,NA,NA,2,1992
"41F0",0.5,56.25,NA,NA,2,1992
"41F1",1.5,56.25,NA,NA,2,1992
"41F2",2.5,56.25,NA,NA,2,1992
"41F3",3.5,56.25,NA,NA,4,1992
"41F4",4.5,56.25,NA,NA,3,1992
"41F5",5.5,56.25,NA,NA,2,1992
"41F6",6.5,56.25,NA,NA,2,1992
"41F7",7.5,56.25,NA,NA,9,1992
"41G0",10.5,56.25,NA,NA,0,1992
"41G1",11.5,56.25,NA,NA,4,1992
"41G2",12.5,56.25,NA,NA,3,1992
"42E7",-2.5,56.75,NA,NA,1,1992
"42E8",-1.5,56.75,NA,NA,4,1992
"42E9",-0.5,56.75,NA,NA,3,1992
"42F0",0.5,56.75,NA,NA,1,1992
"42F1",1.5,56.75,NA,NA,0,1992
"42F2",2.5,56.75,NA,NA,2,1992
"42F3",3.5,56.75,NA,NA,3,1992
"42F4",4.5,56.75,NA,NA,4,1992
"42F5",5.5,56.75,NA,NA,2,1992
"42F6",6.5,56.75,NA,NA,2,1992
"42F7",7.5,56.75,NA,NA,2,1992
"42F8",8.5,56.75,NA,NA,0,1992
"42G0",10.5,56.75,NA,NA,0,1992
"42G1",11.5,56.75,NA,NA,5,1992
"42G2",12.5,56.75,NA,NA,7,1992
"43E8",-1.5,57.25,NA,NA,1,1992
"43E9",-0.5,57.25,NA,NA,1,1992
