year,index
1992,161.778406480587
1993,188.989618830803
1994,155.586410550289
1995,169.743260395816
1996,97.6648788161688
1997,132.645912793912
1998,51.4675237913631
1999,236.218997809355
2000,95.8956183768689
2001,334.394962468218
2002,131.567103002057
2003,69.9862803653103
2004,37.3119658920315
2005,65.4622497308952
2006,61.0439997389812
2007,50.4115701589299
2008,39.3356171699506
2009,91.8739592632845
2010,56.2748060660247
2011,68.7546064235731
2012,64.4722583245055
2013,60.6215136212803
2014,112.368456587127
2015,21.7058757121004
2016,81.4555831501428
2017,27.8336251042854
2018,101.854553211809
2019,51.4811237857442
2020,59.7748376303536
2021,86.3116983796414
2022,46.6287886140533
2023,90.7884104966037
2024,62.4745854856178
2025,32.8560118415057
